"id","name","vision","composure","acceleration","speed","stamina","strength","balance","agility","jumping","heading"
2646,"Timo Baumgartl",55,57,62,54,63,73,58,52,71,72
2647,"Kuca",69,74,83,86,76,53,71,78,55,69
2648,"Mohamed Larbi",71,70,72,69,71,72,64,67,72,71
2649,"Juan Martín Lucero",52,72,84,80,57,68,71,84,71,73
2650,"Nelson Acevedo",62,74,68,70,88,76,64,66,80,70
2651,"Ali Adnan",60,70,76,82,86,78,60,74,66,62
2652,"Enes Ünal",61,64,71,72,67,76,67,75,71,63
2653,"Sibusiso Vilakazi",71,75,78,75,79,63,72,66,56,46
2654,"Diego Churín",42,65,72,76,73,79,51,56,65,76
2655,"Masato Morishige",51,60,57,53,82,76,56,63,72,73
2656,"Bernard Mensah",68,72,84,78,62,67,68,79,60,62
2657,"Andrés Cubas",60,62,73,68,78,32,88,88,75,55
2658,"Ondrej Duda",75,77,70,70,59,52,69,68,70,49
2659,"Manuel Locatelli",74,66,65,69,79,65,55,69,59,68
2660,"Hélder Costa",64,60,86,87,70,58,72,80,48,46
2661,"Enzo Crivelli",61,64,54,69,71,82,42,67,70,73
2662,"Boschilia",73,65,77,75,67,43,81,79,59,46
2663,"Lee Jae Sung",76,77,67,65,90,63,62,68,57,66
2664,"Hernán Hechalar",70,68,79,79,81,60,76,85,64,62
2665,"Steve Birnbaum",35,65,55,59,72,78,54,42,84,75
2666,"Luca Mazzitelli",74,67,66,66,69,64,68,61,61,60
2667,"Andrés Felipe Roa",72,66,79,81,65,54,74,84,75,57
2668,"Germán Conti",29,50,57,74,62,72,46,46,52,76
2669,"Pau López",26,22,45,52,42,52,57,40,60,15
2670,"Anderson Esiti",56,72,50,52,85,91,41,63,75,68
2671,"Federico Melchiorri",62,74,78,89,65,72,57,72,87,69
2672,"Zaldúa",34,53,75,74,69,60,72,64,68,66
2673,"Iliass Bel Hassani",78,60,72,68,58,60,77,78,60,46
2674,"Cotán",74,60,62,61,60,45,77,72,60,42
2675,"Bruno Varela",32,25,37,41,44,73,43,37,51,16
2676,"Mahmoud Abdel Moneim",63,68,81,87,73,66,67,74,69,64
2677,"Ebenezer Ofori",74,80,76,70,76,58,92,93,72,39
2678,"Stipe Perica",50,65,69,71,68,74,50,62,72,77
2679,"Firmin Ndombe Mubele",70,65,77,78,65,80,65,68,77,70
2680,"Mbwana Ally Samatta",56,71,79,81,58,73,65,78,82,70
2681,"Junya Tanaka",74,76,60,78,68,76,59,75,82,71
2682,"Miha Mevlja",51,64,71,68,71,81,52,65,63,65
2683,"Anderson Plata",64,67,90,91,63,68,81,80,76,66
2684,"Lukas Spalvis",55,68,68,69,69,74,56,64,72,69
2685,"Allan Saint-Maximin",63,63,86,84,59,57,84,85,58,53
2686,"Marcel Tisserand",70,66,68,71,79,69,65,65,70,70
2687,"Idris",58,66,53,55,87,89,49,40,55,75
2688,"Antonio Di Gaudio",65,61,93,91,80,33,93,91,55,40
2689,"Gaetano Letizia",49,69,91,85,81,70,87,82,75,55
2690,"Federico Carrizo",70,71,90,89,72,55,80,81,69,52
2691,"Jorge Broun",38,27,41,45,30,79,44,30,68,16
2692,"Damián Musto",59,39,54,54,80,77,54,56,65,68
2693,"Marlon Santos",43,66,55,63,67,80,59,54,64,70
2694,"Andrea Petagna",59,65,62,65,68,90,61,56,71,77
2695,"Kenedy",66,64,86,79,75,70,62,85,69,66
2696,"Jason",63,59,85,82,68,66,79,79,67,56
2697,"Roni",73,57,77,80,65,51,77,78,65,71
2698,"Lucas Janson",74,59,73,74,69,43,82,83,80,58
2699,"Fernando Manríquez",77,69,54,67,89,58,81,60,49,57
2700,"Enzo Kalinski",72,66,76,70,82,80,66,71,88,71
2701,"Carlos Carbonero",76,71,78,84,64,75,79,78,42,48
2702,"Brahian Alemán",70,69,81,83,69,72,65,76,68,58
2703,"Germán Voboril",41,52,77,76,74,70,65,64,71,54
2704,"Juan Caicedo",66,58,68,72,63,85,48,63,71,79
2705,"Victor Ayala",68,69,72,73,80,68,72,78,78,66
2706,"Jefferson Duque",56,79,70,68,69,78,66,66,80,68
2707,"Farid Díaz",62,73,73,78,76,59,79,80,90,65
2708,"Freddy Hinestroza",64,50,87,88,70,60,79,86,80,71
2709,"Wilmar Barrios",65,68,66,61,90,70,67,67,82,59
2710,"Jefferson Cuero",65,66,92,93,81,59,75,86,69,65
2711,"Angelo Rodríguez",59,69,72,69,69,83,54,54,51,68
2712,"David Silva",72,75,74,75,90,65,73,78,70,39
2713,"Ricardo Jérez",37,25,41,40,38,69,28,30,50,20
2714,"Guillermo Celis",67,73,73,75,85,75,72,75,72,67
2715,"Esteban Pavez",71,72,76,77,83,80,68,79,82,73
2716,"Leandro Castellanos",51,25,44,45,25,62,51,45,64,15
2717,"José Cuadrado",55,44,42,50,33,54,50,55,69,19
2718,"Alexey Miranchuk",76,66,77,75,74,68,67,77,58,53
2719,"Nicolás Vikonis",41,30,39,42,34,60,42,38,60,15
2720,"Carlos Lizarazo",80,67,84,82,60,49,84,83,55,48
2721,"Adama",43,69,92,93,61,80,81,80,73,40
2722,"Mykyta Shevchenko",58,27,45,45,37,65,52,31,70,13
2723,"Fábio Cardoso",41,49,64,66,71,75,57,54,74,73
2724,"Erick Pulgar",72,70,68,68,78,76,68,69,80,69
2725,"Felipe Mora",49,65,86,79,59,70,71,75,80,71
2726,"Saulo Decarli",39,64,65,69,65,77,55,58,82,73
2727,"Frank Acheampong",61,67,92,91,91,71,90,83,90,51
2728,"Cifuentes",46,76,88,85,92,67,77,81,81,55
2729,"Jimmy Cabot",54,63,90,90,59,50,92,78,63,38
2730,"Josué",38,70,74,76,70,75,57,68,78,72
2731,"William Dutoit",39,28,41,46,32,65,63,37,80,13
2732,"Walker Zimmerman",37,64,63,55,75,82,44,44,77,76
2733,"Romain Philippoteaux",69,66,82,78,71,51,88,78,49,43
2734,"Mauro Matos",49,70,56,55,52,76,60,58,90,83
2735,"Clinton Njie",64,71,91,94,77,61,88,92,60,51
2736,"Ricardo Esgaio",64,65,66,68,74,56,83,77,63,56
2737,"Luciano",65,72,77,73,62,66,66,79,76,65
2738,"Alexandru Chipciu",76,61,77,75,66,69,68,71,52,58
2739,"Koo Ja Ryong",49,43,69,74,73,84,64,66,82,69
2740,"Kwon Chang Hoon",73,70,69,69,81,67,81,73,55,63
2741,"Moussa Dembélé",57,74,77,83,64,78,63,74,80,67
2742,"Riza Durmisi",72,53,86,85,90,61,91,80,81,66
2743,"Mpho Makola",72,61,74,72,65,55,81,80,58,67
2744,"Frederico Venâncio",49,64,75,73,68,71,55,63,74,75
2745,"Georgi Milanov",73,64,69,81,72,61,64,73,81,62
2746,"Rubén García",70,60,84,75,65,57,84,82,64,59
2747,"Mohammed Khalil Al Owais",64,21,41,49,35,62,61,37,74,20
2748,"Vincent Laurini",38,70,79,77,79,65,78,79,76,60
2749,"Marc-Oliver Kempf",54,65,65,68,65,77,62,64,90,77
2750,"Louis Schaub",68,68,77,77,73,63,75,85,63,52
2751,"Ilya Kutepov",46,63,51,36,70,82,55,48,34,80
2752,"Darwin Machís",63,68,88,87,72,55,89,85,78,47
2753,"Renato Santos",68,65,77,78,73,60,76,84,40,51
2754,"André Ramalho",66,70,55,55,69,76,65,67,85,75
2755,"Chisamba Lungu",69,57,82,88,83,71,87,82,81,55
2756,"Bilal Basaçikoglu",69,45,90,85,73,44,70,91,90,60
2757,"Victor Andrade",58,70,92,91,71,32,87,91,62,53
2758,"Jordan Adéoti",65,70,56,59,80,74,65,55,82,69
2759,"Stefan Mitrovic",43,58,48,49,67,85,46,50,68,75
2760,"Gaëtan Laborde",63,70,71,73,78,75,64,73,78,70
2761,"Mathieu Michel",20,27,50,48,35,64,61,30,64,19
2762,"Maxime Poundjé",57,62,80,85,75,59,75,73,72,62
2763,"Nawaf Al Abed",72,68,87,87,78,61,81,83,61,43
2764,"Ryan Gauld",72,74,87,84,68,34,91,90,65,46
2765,"Mohammed Al Sahlawi",63,62,75,72,76,73,68,71,74,69
2766,"Sam Byram",68,72,77,78,79,70,70,77,79,66
2767,"Eric Bicfalvi",70,75,59,67,80,79,51,52,70,65
2768,"Dragos Grigore",57,64,66,63,67,83,57,60,69,74
2769,"Raheem Lawal",69,72,72,76,88,86,55,69,78,53
2770,"Thomas Foket",68,69,82,78,87,65,73,75,74,56
2771,"Andreas Pereira",67,59,75,73,80,59,80,80,59,59
2772,"Clinton Mata",56,63,86,90,79,63,73,85,83,43
2773,"Olivier Boumal",70,58,86,85,75,62,79,80,60,46
2774,"Dimitrios Pelkas",71,66,80,79,68,44,82,79,48,37
2775,"Ivan Santini",62,67,44,47,79,88,40,50,75,80
2776,"Alfonso González",70,73,78,79,83,68,76,77,75,65
2777,"Josef Alexander Martínez",67,73,89,88,76,72,88,91,84,59
2778,"Dom Dwyer",50,69,78,79,82,64,72,74,78,62
2779,"Cristiano",68,57,90,92,68,86,53,72,53,62
2780,"Simon Tibbling",73,77,75,69,78,68,80,79,42,58
2781,"Viktor Claesson",73,77,70,68,82,64,63,76,48,40
2782,"Jordan Lukaku",65,76,85,87,79,81,74,75,79,62
2783,"Simon Falette",22,39,69,63,80,93,48,48,83,73
2784,"Héctor Canteros",77,68,66,70,81,70,72,67,67,59
2785,"Luciano Aued",71,57,58,56,77,74,60,61,56,57
2786,"Kalifa Coulibaly",61,67,68,78,74,83,38,58,73,81
2787,"Silviu Lung Jr.",69,66,38,35,31,64,62,67,53,16
2788,"Luciano Abecasis",68,58,84,82,70,60,69,77,70,57
2789,"Solomon Kverkvelia",51,52,68,70,77,83,46,41,70,73
2790,"Jan Kopic",68,75,78,81,66,54,72,76,57,47
2791,"Matteo Bianchetti",25,62,60,69,70,79,54,65,70,69
2792,"Alex Pritchard",74,55,77,70,75,39,85,73,58,44
2793,"Ewerton",55,62,54,63,60,77,60,54,83,75
2794,"Karim Rekik",45,73,64,68,70,80,61,63,72,74
2795,"Portu",75,67,75,78,85,68,73,70,70,64
2796,"Charlie Taylor",54,63,79,76,82,73,66,72,74,63
2797,"Pawel Olkowski",60,65,77,83,83,72,64,73,61,55
2798,"Ghayas Zahid",73,73,84,75,68,62,82,87,48,48
2799,"Ole Kristian Selnæs",80,75,70,72,84,70,66,71,53,61
2800,"Raúl Ruidíaz",65,73,82,85,75,46,81,82,70,70
2801,"Santiago García",64,70,75,74,74,76,57,64,72,72
2802,"Florin Gardos",40,64,55,53,69,78,53,51,62,74
2803,"Michael de Leeuw",60,61,66,55,83,65,74,69,77,85
2804,"Jakub Brabec",58,70,60,67,72,76,52,61,75,73
2805,"Marvin Bakalorz",64,66,66,65,84,74,74,69,81,65
2806,"Koffi Djidji",18,63,74,70,56,73,66,62,72,71
2807,"Gabriel Hauche",69,73,90,89,73,61,78,85,77,58
2808,"Alban Meha",75,72,65,63,62,53,80,74,66,39
2809,"Aron Jóhannsson",68,74,73,76,64,60,65,68,67,69
2810,"Ahmed El-Shenawy",47,46,33,35,20,73,65,35,52,11
2811,"Juan Ignacio Gomez",68,70,85,84,70,70,78,80,88,70
2812,"Hlompho Kekana",72,77,69,69,84,72,68,60,75,53
2813,"Balliu",50,60,76,71,84,62,72,76,80,47
2814,"Pawel Wszolek",69,69,79,80,85,75,61,72,61,54
2815,"Chris Löwe",63,68,87,84,83,55,80,82,82,53
2816,"Adnane Tighadouini",67,52,77,71,52,70,75,71,74,45
2817,"Harry Maguire",45,58,43,56,72,88,59,38,70,73
2818,"Oscar Hiljemark",68,73,72,73,89,72,64,67,72,59
2819,"Leonardo Spinazzola",68,63,78,79,77,78,61,75,76,62
2820,"Gianluca Caprari",75,68,89,85,77,53,91,91,33,47
2821,"Alexander Schwolow",34,28,36,38,31,68,42,40,75,12
2822,"Danilo Avelar",37,70,68,75,55,75,64,69,66,68
2823,"Alex Martínez",53,54,75,78,82,56,67,76,72,59
2824,"Diego Arias",65,65,69,69,77,64,76,77,80,59
2825,"Abdoulay Diaby",66,71,90,92,78,58,81,87,84,66
2826,"Aziz Behich",48,64,84,83,82,52,84,84,73,54
2827,"Nacho Cases",68,64,59,58,80,70,80,69,59,57
2828,"Ola John",68,63,87,84,44,63,74,83,61,49
2829,"Felix Klaus",64,68,87,83,77,67,78,77,67,45
2830,"Jaimen Ayoví",61,64,66,68,76,85,47,56,78,77
2831,"Remo Freuler",72,66,69,69,79,66,61,72,58,41
2832,"Anthony Limbombe",52,64,88,87,66,56,83,89,83,36
2833,"Yacouba Sylla",62,65,71,74,92,86,68,74,70,60
2834,"Álvaro",60,61,68,70,65,72,67,72,71,66
2835,"Federico Santander",68,57,70,74,73,80,56,72,80,75
2836,"Fegor Ogude",65,70,74,76,92,84,66,67,82,66
2837,"Camillo Ciano",66,66,84,74,67,62,73,77,54,58
2838,"Afriyie Acquah",70,70,79,79,89,79,79,78,79,60
2839,"Dominik Kaiser",69,71,67,54,84,56,91,77,74,59
2840,"Oliver Sorg",60,68,75,74,74,64,82,79,63,58
2841,"Jerry Mbakogu",66,67,87,78,77,83,65,81,90,70
2842,"Emmanuel Gigliotti",64,71,54,63,72,78,66,67,77,78
2843,"Carl Jenkinson",62,62,68,78,78,74,68,62,64,60
2844,"Pedro Mendes",32,68,65,66,75,76,53,55,72,69
2845,"James Forrest",70,67,87,90,69,59,84,91,70,47
2846,"Nico Schulz",65,67,88,86,77,72,72,74,60,55
2847,"Guilherme",68,75,90,83,74,55,86,84,80,52
2848,"Lukas Hinterseer",64,66,65,67,71,80,58,67,63,73
2849,"Ben Rienstra",73,77,65,62,84,74,70,64,72,68
2850,"Ben Gibson",29,50,63,64,63,78,68,56,75,73
2851,"Marco Bizot",37,40,47,47,36,70,40,50,72,16
2852,"Aras Özbiliz",67,62,80,77,61,57,79,82,65,41
2853,"Arbilla",57,64,60,72,75,77,67,59,79,70
2854,"Marco Matias",63,72,87,86,62,56,74,78,61,58
2855,"Tino-Sven Sušic",70,72,68,70,75,73,58,73,64,64
2856,"Anders Christiansen",74,71,72,75,88,59,85,86,86,58
2857,"Bartosz Bereszynski",66,70,83,82,82,67,72,76,70,59
2858,"Sylvester Igboun",63,67,93,91,82,77,90,86,90,69
2859,"Almog Cohen",60,70,68,65,84,65,85,77,89,55
2860,"Fernando Canesín",70,68,83,81,78,53,76,82,60,47
2861,"Montañés",68,79,85,79,61,63,84,85,76,42
2862,"Claiton",28,71,54,54,54,81,54,55,78,70
2863,"Joselu",48,51,79,78,83,74,60,70,68,65
2864,"Santos",69,65,90,85,76,59,91,84,79,68
2865,"Ilja Nestorovski",42,43,68,69,79,76,72,63,69,67
2866,"João Pedro",67,70,77,77,76,64,61,73,73,61
2867,"Yun Young Sun",63,59,79,79,84,85,58,81,59,66
2868,"Raúl Lizoain",33,43,47,55,41,52,58,70,73,15
2869,"Georgios Tzavellas",49,70,70,67,70,77,71,56,75,62
2870,"Ibragim Tsallagov",62,43,82,81,88,58,71,83,70,53
2871,"Kévin Malcuit",48,67,81,87,74,77,68,78,72,63
2872,"Grant Hanley",50,72,68,72,69,78,52,58,81,71
2873,"Jonathan Williams",72,72,80,70,72,57,90,91,67,49
2874,"Zakaria Labyad",66,72,78,77,70,56,83,78,69,49
2875,"Martin Linnes",67,61,86,86,80,56,80,82,66,56
2876,"Tano Bonnin",45,42,54,60,75,77,65,52,80,65
2877,"Sebastián Dubarbier",62,48,79,79,89,74,68,70,81,55
2878,"Guerrero",63,81,68,74,70,65,69,64,72,75
2879,"Leandro Bacuna",69,69,78,77,85,76,64,73,71,63
2880,"François Moubandje",57,72,73,72,75,75,67,67,84,64
2881,"Denis Alibec",65,61,72,69,69,82,63,66,65,64
2882,"Lorenzo Crisetig",72,72,54,64,76,78,68,68,72,68
2883,"Idriss Saadi",58,67,81,78,76,80,74,75,85,66
2884,"Karim Ansarifard",52,77,79,79,72,41,69,69,73,70
2885,"Héldon",68,69,86,85,73,50,77,83,67,59
2886,"Željko Brkic",36,37,40,40,36,68,34,40,70,11
2887,"Borja García",72,61,84,77,73,69,78,78,72,53
2888,"Daniel Ayala",60,68,66,65,67,73,50,62,68,76
2889,"Knowledge Musona",63,67,79,77,72,44,84,84,77,64
2890,"Christoph Moritz",72,77,52,67,78,69,65,75,68,63
2891,"Lasse Sobiech",42,70,47,55,58,84,33,32,50,83
2892,"Pelé",62,71,71,69,66,82,63,77,71,69
2893,"Necip Uysal",62,59,69,72,76,74,68,66,79,76
2894,"Jack Colback",61,65,68,65,82,55,73,75,79,56
2895,"Conor Hourihane",77,66,66,74,85,69,76,80,74,57
2896,"Dario Dumic",47,65,51,65,76,87,41,58,77,81
2897,"Tom Lees",56,68,62,65,70,80,68,61,81,73
2898,"Beram Kayal",71,72,74,74,91,75,74,77,91,66
2899,"Idrissa Sylla",58,68,75,76,64,71,65,73,91,78
2900,"Jonathan Estrada",77,74,68,64,60,71,67,70,66,55
2901,"Joel Obi",72,75,85,77,69,67,87,85,78,50
2902,"Vid Belec",23,40,53,43,20,59,31,55,75,13
2903,"Adama Traoré",61,73,85,86,80,68,82,82,82,57
2904,"Christian Santos",65,75,59,64,71,65,57,68,74,70
2905,"Vincent Le Goff",63,54,73,68,71,58,70,75,60,33
2906,"Yeni Ngbakoto",72,65,78,76,80,69,74,81,56,40
2907,"Giorgi Loria",55,50,50,54,26,75,44,53,68,34
2908,"Juanpe",54,44,55,69,75,80,36,34,70,77
2909,"Kike",62,60,65,73,67,78,55,64,73,76
2910,"Mato Jajalo",71,71,55,68,76,74,72,68,68,65
2911,"Milton Caraglio",58,75,65,55,63,82,55,63,65,75
2912,"Artjoms Rudnevs",54,68,77,84,78,77,67,66,80,74
2913,"Johnathan",57,67,77,76,72,68,58,73,65,68
2914,"Bruno César",80,72,64,63,74,69,84,68,58,58
2915,"Paulinho",67,76,79,71,61,64,88,81,51,43
2916,"Kristoffer Nordfeldt",30,18,55,52,33,74,46,58,83,13
2917,"Niklas Hult",69,72,82,83,80,50,84,78,80,46
2918,"Néstor Araujo",43,71,63,73,75,82,50,50,65,73
2919,"Yun Suk Young",65,76,83,82,82,70,75,83,70,66
2920,"Kim Shin Wook",68,67,61,59,77,89,67,54,70,72
2921,"Kim Seung Gyu",35,64,57,58,16,61,56,71,68,11
2922,"Shinzo Koroki",78,75,72,61,72,66,73,86,61,77
2923,"Osama Hawsawi",34,74,73,70,87,89,64,65,75,73
2924,"Ivan Obradovic",67,65,72,75,71,73,64,69,68,53
2925,"Juan Mercier",74,61,67,54,34,77,64,64,81,60
2926,"Jóhann Berg Gudmundsson",70,68,80,77,74,72,73,72,58,56
2927,"Felix Kroos",68,67,66,65,72,71,68,68,71,63
2928,"Kian Hansen",63,67,74,74,73,73,70,72,80,72
2929,"Matt Besler",60,71,75,76,78,76,67,64,69,69
2930,"Ortuño",59,61,63,69,60,74,59,59,62,67
2931,"Mike Frantz",69,72,68,71,87,76,76,67,65,58
2932,"Daniel Villalva",69,77,91,87,72,29,96,92,86,63
2933,"Darwin Quintero",75,68,88,86,70,69,82,90,65,55
2934,"Osvaldo Martínez",70,72,67,63,83,65,84,76,70,58
2935,"Edgar Benítez",64,69,81,78,74,72,66,78,73,65
2936,"Nicola Rigoni",71,75,59,67,77,75,63,61,67,67
2937,"Eyong Enoh",58,63,69,63,78,73,74,66,80,61
2938,"Javi Castellano",65,62,61,57,72,73,54,62,56,66
2939,"Vincent Manceau",60,55,58,53,84,69,79,73,86,66
2940,"Gianluca Sansone",66,68,87,82,74,49,88,91,58,56
2941,"Ezequiel Luna",35,53,54,54,64,81,60,32,81,69
2942,"Quique",58,62,75,74,63,67,77,76,73,70
2943,"Moestafa El Kabir",68,72,67,76,66,84,66,75,85,66
2944,"Marko Vejinovic",75,73,49,70,70,66,63,69,78,71
2945,"Alcalá",48,37,36,58,71,88,30,40,62,73
2946,"Guaita",45,30,51,52,52,62,48,63,68,20
2947,"Sílvio",65,62,74,73,66,64,77,73,79,64
2948,"Harrison Afful",68,71,81,79,83,66,79,69,80,60
2949,"Jaime Romero",64,70,76,77,65,61,75,75,70,55
2950,"Mads Albæk",73,71,53,56,76,72,65,72,56,45
2951,"Ashley Westwood",76,79,70,63,75,60,79,73,63,44
2952,"Maximiliano Caire",43,44,87,84,90,67,77,76,86,78
2953,"Garath McCleary",67,59,91,90,71,73,61,79,73,48
2954,"Luca Siligardi",63,67,80,80,76,66,79,80,34,46
2955,"Alex Bergantiños",70,65,54,53,75,77,68,61,73,61
2956,"Emmanuel Imorou",65,72,76,77,80,69,78,74,72,67
2957,"Mehdi Mostefa",67,69,54,51,89,79,67,69,71,73
2958,"Igor Lewczuk",60,66,72,75,89,82,64,67,70,62
2959,"Stijn Wuytens",72,72,63,65,83,73,66,72,69,75
2960,"Wallace Reis",54,65,46,54,44,76,56,42,83,73
2961,"Ricardo Noir",68,38,89,89,87,66,78,78,70,62
2962,"George Friend",53,62,75,73,85,82,50,71,72,68
2963,"Sergey Politsevich",37,60,62,67,69,78,58,62,72,76
2964,"David Yurchenko",38,60,46,53,20,69,42,49,66,12
2965,"Rens van Eijden",58,58,46,36,64,85,53,40,80,76
2966,"Jair Pereira",50,63,62,59,78,82,59,44,69,79
2967,"Jorge Hernández",69,72,67,71,89,68,74,68,81,56
2968,"Vladimir Granat",48,73,50,52,63,71,56,65,71,65
2969,"Luis Fuentes",64,67,74,74,78,71,77,74,81,72
2970,"Anders Konradsen",68,67,68,71,92,75,71,69,72,64
2971,"Moussa Maâzou",58,64,88,87,78,82,59,70,80,78
2972,"Hugo González",60,40,32,34,45,73,41,47,59,22
2973,"Alexander Büttner",64,66,78,82,72,70,75,75,77,65
2974,"Claudemir",71,73,63,63,83,74,63,69,67,65
2975,"Vítor Gomes",72,70,63,60,70,75,59,63,76,70
2976,"Ezequiel Muñoz",29,62,55,55,68,79,50,53,82,73
2977,"Alberto",31,36,62,63,59,60,66,66,75,14
2978,"Raúl Fernández",21,19,36,47,32,79,49,40,59,13
2979,"Hamdi Harbaoui",61,74,63,66,68,81,56,61,71,78
2980,"Roman Neustädter",69,63,52,53,77,74,45,54,65,76
2981,"Levan Mchedlidze",60,70,63,69,66,86,36,55,55,76
2982,"Kyle Bartley",38,68,67,64,78,83,34,46,54,76
2983,"Oliver Norwood",72,69,64,64,72,60,74,71,63,58
2984,"Henri Lansbury",73,71,64,65,81,74,65,71,62,47
2985,"Ørjan Nyland",28,41,51,48,33,74,53,45,71,13
2986,"Joshua King",56,61,88,92,73,75,71,78,72,63
2987,"Vegard Forren",46,73,48,49,70,82,65,47,81,71
2988,"Thomas Rogne",48,67,45,54,63,84,41,49,62,74
2989,"Deniz Kadah",74,74,69,71,74,79,65,68,78,78
2990,"Lora",59,74,80,80,80,66,81,77,65,55
2991,"Javier Morales",72,70,67,64,58,62,75,69,62,51
2992,"Felipe",54,71,50,53,31,83,55,60,57,77
2993,"Stefanos Athanasiadis",65,72,72,74,69,74,70,72,73,73
2994,"Dan Gosling",73,77,66,64,77,64,72,65,67,61
2995,"Aurélien Collin",44,64,63,55,63,82,61,30,79,71
2996,"Jordan Rhodes",67,79,60,68,78,74,66,74,81,73
2997,"Fábio Pacheco",57,62,66,69,78,67,71,65,81,59
2998,"Ömer Sismanoglu",64,70,74,76,70,74,58,66,80,75
2999,"Alan Judge",73,68,75,78,77,59,86,90,86,40
3000,"Sebastien Dewaest",38,68,53,61,79,88,38,41,67,75
3001,"Orlando Sá",67,74,60,66,72,80,56,68,70,75
3002,"Martin Hansen",26,19,53,48,33,66,51,50,70,12
3003,"Martin Kelly",39,75,62,63,76,79,56,59,70,77
3004,"Vurnon Anita",67,75,79,74,84,63,89,82,71,51
3005,"Mandla Masango",64,65,84,78,63,34,80,84,78,69
3006,"Georg Margreitter",49,56,46,54,55,86,56,39,71,75
3007,"Natxo Insa",73,72,68,66,77,69,75,72,68,57
3008,"Barry Bannan",77,66,67,61,78,33,90,90,62,42
3009,"Fran Mérida",75,56,66,63,71,70,70,59,65,43
3010,"Nacer Barazite",71,65,61,65,67,66,58,77,64,60
3011,"Eros Pisano",39,69,67,74,79,79,62,71,74,73
3012,"Pål André Helland",71,74,82,80,67,73,69,81,55,53
3013,"Marcello Gazzola",42,61,76,69,78,69,60,69,65,59
3014,"Jamel Saihi",71,74,53,62,67,69,65,69,68,65
3015,"Diego Vera",66,62,72,61,75,65,65,75,72,82
3016,"Mahmut Tekdemir",59,68,66,65,75,70,75,68,81,70
3017,"Rúben Ribeiro",71,76,74,71,73,60,78,75,67,57
3018,"David Stockdale",51,34,32,36,25,61,37,24,51,11
3019,"Konstantin Vassiljev",74,76,62,55,61,63,76,72,58,47
3020,"Maurício Ramos",48,56,57,59,60,84,54,46,87,72
3021,"Alexander Gerndt",70,68,81,73,81,70,59,71,65,56
3022,"Pierre Bengtsson",65,68,77,77,76,65,74,75,76,54
3023,"Anderson Luís",61,59,75,75,78,67,71,72,72,64
3024,"Craig Cathcart",43,75,55,67,71,73,58,64,70,74
3025,"Tommy Elphick",41,53,45,42,66,80,49,57,74,73
3026,"Luis Robles",55,60,51,58,35,71,46,61,44,17
3027,"Sam Vokes",67,68,55,65,79,82,53,55,85,78
3028,"Varela",52,66,69,66,75,78,62,58,67,71
3029,"Javier García",53,22,35,35,31,41,43,38,63,12
3030,"Daniel Ciofani",38,62,61,69,58,79,39,34,86,78
3031,"Nicolas Frey",35,77,69,69,68,78,62,64,78,72
3032,"Ryan Donk",74,70,54,64,77,81,39,44,78,74
3033,"Diego Biseswar",65,66,75,78,65,70,82,81,70,42
3034,"Bueno",70,60,66,68,53,57,74,81,56,66
3035,"Özer Hurmaci",72,62,78,78,74,65,83,82,81,71
3036,"Gaëtan Bong",68,68,71,74,75,76,64,71,72,56
3037,"Kévin Monnet-Paquet",70,68,84,84,76,73,69,77,64,63
3038,"Tobias Sippel",31,41,50,42,41,65,41,48,64,13
3039,"Haris Medunjanin",73,62,72,67,74,74,46,64,67,51
3040,"Lasse Nielsen",56,52,63,66,71,77,56,59,78,75
3041,"Tore Reginiussen",42,72,69,68,61,80,54,64,85,71
3042,"Mikael Lustig",60,76,61,60,66,74,54,64,80,78
3043,"Welliton",65,72,76,81,67,69,67,79,72,76
3044,"Daniel Larsson",64,72,85,92,90,65,78,74,79,61
3045,"Juan Ángel Albín",71,67,68,69,72,74,61,70,65,43
3046,"Juan Camilo Zúñiga",64,74,88,84,68,68,86,88,68,54
3047,"Dax McCarty",60,68,69,65,89,64,80,73,60,64
3048,"Ritchie De Laet",54,54,86,86,76,73,57,64,74,68
3049,"Mateus",68,71,87,85,83,65,75,78,74,56
3050,"Kevin McDonald",75,78,72,67,74,75,58,58,73,56
3051,"Krzysztof Maczynski",75,71,75,63,76,60,73,80,73,55
3052,"Sone Aluko",71,71,90,86,72,57,83,84,56,42
3053,"Veli Kavlak",64,66,67,68,83,68,70,69,82,62
3054,"Torrejón",51,76,49,53,67,83,56,55,57,72
3055,"Federico Dionisi",53,68,77,80,70,63,64,62,72,67
3056,"Sébastien Bassong",44,59,66,71,76,84,61,55,76,74
3057,"Alex López",80,68,63,58,75,59,83,69,57,45
3058,"Crespo",59,59,69,66,78,74,62,63,71,60
3059,"Onur Kaya",76,74,74,69,66,56,82,81,64,35
3060,"Ignacio Scocco",71,72,78,77,67,64,79,75,70,51
3061,"Sereno",49,70,65,69,53,76,58,60,80,73
3062,"Marco Motta",60,74,78,78,76,76,66,69,71,73
3063,"David Rodríguez",58,59,80,81,80,74,63,75,77,67
3064,"Cole Skuse",67,74,64,67,84,70,64,67,70,66
3065,"Ukra",67,65,76,79,73,61,73,78,78,61
3066,"Urby Emanuelson",69,74,83,80,65,59,88,90,72,56
3067,"Mehdi Lacen",68,68,59,59,81,69,80,76,76,59
3068,"Emmanuel Cascione",71,76,68,66,92,80,71,68,82,67
3069,"Markus Suttner",64,70,77,77,79,69,72,75,74,59
